Venue Name,City,State,Address,Capacity,Surface Type,Indoor/Outdoor,Facilities,GPS Coordinates,Contact Number
Wankhede Stadium,Mumbai,Maharashtra,D Road Mumbai 400020,33108,Natural Grass,Outdoor,"Pavilion Stands, Media Center, VIP Boxes",19.0298° N 72.8397° E,+91-22-2281-3500
Feroz Shah Kotla,Delhi,Delhi,Bahadur Shah Zafar Marg New Delhi 110002,41820,Natural Grass,Outdoor,"Press Box, Corporate Boxes, Player Facilities",28.6358° N 77.2431° E,+91-11-2331-5946
Chepauk Ground,Chennai,Tamil Nadu,Wallajah Road Chennai 600002,50000,Natural Grass,Outdoor,"Grand Stand, Anna Pavilion, MCC Pavilion",13.0637° N 80.2769° E,+91-44-2536-4378
M Chinnaswamy Stadium,Bangalore,Karnataka,Queens Road Bangalore 560001,40000,Natural Grass,Outdoor,"KSCA Pavilion, UB City Club House",12.9788° N 77.5996° E,+91-80-2226-4445
Salt Lake Stadium,Kolkata,West Bengal,Bidhannagar Kolkata 700064,85000,Natural Grass,Outdoor,"East Block, West Block, VIP Gallery",22.5622° N 88.3732° E,+91-33-2334-4069
Shiv Chhatrapati Stadium,Pune,Maharashtra,Balewadi Sports Complex Pune 411045,37000,Natural Grass,Outdoor,"North Stand, South Stand, Club House",18.5679° N 73.7537° E,+91-20-2729-4500
Rajiv Gandhi Stadium,Hyderabad,Telangana,Uppal Hyderabad 500039,55000,Natural Grass,Outdoor,"Pavilion End, Stadium End, Corporate Boxes",17.4065° N 78.5540° E,+91-40-2766-3456
Sardar Patel Stadium,Ahmedabad,Gujarat,Stadium Road Motera 382424,132000,Natural Grass,Outdoor,"Adani Pavilion, Clubhouse, LED Stadium",23.0969° N 72.5953° E,+91-79-2970-2834
Sawai Mansingh Stadium,Jaipur,Rajasthan,Rambagh Circle Jaipur 302004,30000,Natural Grass,Outdoor,"Pavilion Stand, Popular Stand",26.8969° N 75.8069° E,+91-141-238-1935
Jawaharlal Nehru Stadium,Kochi,Kerala,Kaloor Kochi 682017,60000,Natural Grass,Outdoor,"Main Stand, Gallery, VIP Enclosure",9.9980° N 76.2999° E,+91-484-235-7890
