Date,Time,Sport,Competition,Home Team,Away Team,Venue,Status,Score,Match Type
2025-12-01,15:30,Cricket,JPNV Premier League,Mumbai Warriors,Delhi Dynamos,Wankhede Stadium,Scheduled,,League
2025-12-01,18:00,Football,JPNV Football Championship,Chennai Chargers,Bangalore Bulls,Chepauk Ground,Scheduled,,League
2025-12-02,16:00,Basketball,JPNV Basketball League,Kolkata Knights,Pune Panthers,Salt Lake Stadium,Scheduled,,League
2025-12-02,19:30,Cricket,JPNV Premier League,Hyderabad Hawks,Ahmedabad Aces,Rajiv Gandhi Stadium,Scheduled,,League
2025-12-03,17:00,Tennis,JPNV Tennis Open,Jaipur Jaguars,Kochi Kings,Sawai Mansingh Stadium,Scheduled,,Tournament
2025-12-04,15:00,Football,JPNV Football Championship,Mumbai Warriors,Kolkata Knights,Wankhede Stadium,Scheduled,,League
2025-12-04,18:30,Basketball,JPNV Basketball League,Delhi Dynamos,Chennai Chargers,Thyagaraj Stadium,Scheduled,,League
2025-12-05,16:30,Cricket,JPNV Premier League,Bangalore Bulls,Pune Panthers,M Chinnaswamy Stadium,Scheduled,,League
2025-12-06,17:30,Tennis,JPNV Tennis Open,Ahmedabad Aces,Hyderabad Hawks,Sardar Patel Stadium,Scheduled,,Tournament
2025-12-07,14:00,Football,JPNV Football Championship,Kochi Kings,Jaipur Jaguars,Jawaharlal Nehru Stadium,Scheduled,,League
2025-12-08,16:00,Basketball,JPNV Basketball League,Mumbai Warriors,Ahmedabad Aces,Wankhede Stadium,Scheduled,,League
2025-12-08,19:00,Cricket,JPNV Premier League,Chennai Chargers,Kochi Kings,Chepauk Ground,Scheduled,,League
2025-12-09,15:30,Tennis,JPNV Tennis Open,Delhi Dynamos,Bangalore Bulls,Thyagaraj Stadium,Scheduled,,Tournament
2025-12-10,17:00,Football,JPNV Football Championship,Hyderabad Hawks,Pune Panthers,Rajiv Gandhi Stadium,Scheduled,,League
2025-12-11,18:00,Basketball,JPNV Basketball League,Jaipur Jaguars,Kolkata Knights,Sawai Mansingh Stadium,Scheduled,,League
