Match ID,Date,Sport,Home Team,Away Team,Home Score,Away Score,Status,Venue,Notes,Updated On
JPNV001,2025-12-01,Cricket,Mumbai Warriors,Delhi Dynamos,245,198,Completed,Wankhede Stadium,Mumbai Warriors won by 47 runs,2025-12-01 18:30
JPNV002,2025-12-02,Football,Chennai Chargers,Pune Panthers,2,1,Completed,Chepauk Ground,Chennai Chargers won 2-1,2025-12-02 20:15
JPNV003,2025-12-03,Basketball,Bangalore Bulls,Ahmedabad Aces,89,76,Completed,M Chinnaswamy Stadium,Bangalore Bulls won by 13 points,2025-12-03 19:45
JPNV004,2025-12-04,Tennis,Hyderabad Hawks,Jaipur Jaguars,6-4 6-3,4-6 3-6,Completed,Rajiv Gandhi Stadium,Hyderabad Hawks won in straight sets,2025-12-04 17:00
JPNV005,2025-12-05,Cricket,Kolkata Knights,Chennai Chargers,189,192,Completed,Salt Lake Stadium,Chennai Chargers won by 3 runs,2025-12-05 16:30
JPNV006,2025-12-06,Football,Kochi Kings,Mumbai Warriors,1,3,Completed,Jawaharlal Nehru Stadium,Mumbai Warriors won 3-1,2025-12-06 19:00
JPNV007,2025-12-07,Basketball,Pune Panthers,Hyderabad Hawks,78,81,Completed,Shiv Chhatrapati Stadium,Hyderabad Hawks won by 3 points,2025-12-07 18:15
JPNV008,2025-12-08,Cricket,Ahmedabad Aces,Bangalore Bulls,156,159,Completed,Sardar Patel Stadium,Bangalore Bulls won by 3 runs,2025-12-08 15:45
JPNV009,2025-12-09,Tennis,Delhi Dynamos,Kochi Kings,7-5 6-4,5-7 4-6,Completed,Feroz Shah Kotla,Delhi Dynamos won in straight sets,2025-12-09 16:00
JPNV010,2025-12-10,Football,Jaipur Jaguars,Kolkata Knights,2,2,Completed,Sawai Mansingh Stadium,Match ended in a draw,2025-12-10 20:00
