Venue Name,City,Address,Capacity,Facilities,GPS Coordinates,Transportation,Parking,Contact
Wankhede Stadium,Mumbai,"Churchgate, Mumbai, Maharashtra 400020",33108,"Floodlights, Electronic Scoreboard, VIP Boxes","19.0433, 72.8261","Mumbai Local, Metro, Bus","Available - 500 cars","+91-22-2281-9000"
Feroz Shah Kotla,Delhi,"Bahadur Shah Zafar Marg, New Delhi 110002",41820,"Floodlights, Press Box, Modern Dressing Rooms","28.6139, 77.2420","Delhi Metro, Bus, Auto","Available - 800 cars","+91-11-2331-5050"
Chepauk Ground,Chennai,"Chepauk, Chennai, Tamil Nadu 600005",50000,"Floodlights, Media Center, Corporate Boxes","13.0622, 80.2799","Chennai Metro, Bus, Auto","Limited - 200 cars","+91-44-2536-3367"
M Chinnaswamy Stadium,Bangalore,"Cubbon Park, Bangalore, Karnataka 560001",40000,"Floodlights, Practice Nets, Modern Amenities","12.9792, 77.5999","BMTC Bus, Metro, Cab","Available - 600 cars","+91-80-2226-3344"
Salt Lake Stadium,Kolkata,"Bidhannagar, Kolkata, West Bengal 700064",85000,"Floodlights, Athletic Track, Multiple Pitches","22.5626, 88.3712","Kolkata Metro, Bus, Tram","Available - 1000 cars","+91-33-2334-5566"
Shiv Chhatrapati Stadium,Pune,"Balewadi, Pune, Maharashtra 411045",37000,"Floodlights, Swimming Pool, Indoor Courts","18.5793, 73.7845","PMPML Bus, Auto, Cab","Available - 400 cars","+91-20-2729-4400"
Rajiv Gandhi Stadium,Hyderabad,"Road No. 2, Banjara Hills, Hyderabad 500034",55000,"Floodlights, Indoor Stadium, Practice Facilities","17.4126, 78.4071","Hyderabad Metro, Bus, Auto","Available - 700 cars","+91-40-2335-7788"
Sardar Patel Stadium,Ahmedabad,"Motera, Ahmedabad, Gujarat 382007",132000,"World's Largest Cricket Stadium, LED Lights","23.0969, 72.5950","BRTS, Bus, Auto, Metro","Available - 3000 cars","+91-79-2970-3456"
Sawai Mansingh Stadium,Jaipur,"Rambagh Circle, Jaipur, Rajasthan 302004",30000,"Floodlights, Press Gallery, VIP Enclosure","26.8854, 75.8069","Jaipur City Bus, Auto, Cab","Available - 300 cars","+91-141-2565-4321"
Jawaharlal Nehru Stadium,Kochi,"Kaloor, Kochi, Kerala 682017",60000,"Floodlights, Athletic Track, Multi-purpose","9.9980, 76.2999","Kochi Metro, Bus, Auto","Limited - 250 cars","+91-484-2701-234"
